Date,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20
Alabama,8,11,13,16,22,27,26,30,37,75,107,115,104,103,104,98,78,111,169,185,177,152,185,188,250,259,296,287,262,245,171,204,206,212,181,169,202,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Arizona,3,3,5,9,16,26,36,56,74,83,91,113,124,137,164,172,165,146,160,202,224,230,185,152,186,179,222,175,198,139,141,177,234,253,232,186,177,162,163,165,167,169,171,173,175,177,179,181,183,185,188,190,190,190,190,190,190,190,190,190,190,190
Arkansas,0,0,0,20,32,39,34,31,32,38,48,54,43,30,31,38,53,57,60,53,65,57,68,54,81,75,76,54,80,90,96,70,66,58,54,93,82,105,104,104,103,103,102,102,101,101,100,100,100,99,99,98,98,97,97,96,96,96,95,95,94,94
California,92,109,152,149,181,192,214,288,378,451,597,706,699,651,827,1038,1182,1212,1265,1146,1420,1338,1505,1288,1230,1243,936,1028,950,1217,1297,1249,1267,1268,1251,1510,1658,2017,2042,2067,2092,2118,2143,2170,2196,2223,2250,2278,2306,2334,2362,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
Colorado,19,22,40,48,65,86,105,114,83,143,242,237,240,292,293,409,225,344,259,402,536,480,414,235,157,258,286,551,496,479,216,198,247,364,481,346,475,372,381,390,400,410,421,431,442,453,465,476,488,501,513,526,526,526,526,526,526,526,526,526,526,526
Connecticut,10,15,24,39,42,33,56,74,141,183,199,224,216,327,427,535,521,418,595,573,617,664,835,702,959,919,1243,750,948,826,907,834,940,932,693,1002,937,1199,1202,1205,1208,1211,1214,1217,1220,1223,1226,1229,1232,1235,1238,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241
Delaware,1,3,4,7,8,9,9,10,20,21,21,20,32,34,34,35,45,43,44,75,93,111,112,148,142,133,121,139,144,149,130,104,130,175,156,143,131,196,198,199,201,202,204,205,207,208,210,211,213,214,216,217,217,217,217,217,217,217,217,217,217,217
District of Columbia,7,7,10,6,16,22,21,16,14,28,37,43,39,37,43,64,81,84,87,105,116,113,103,146,142,150,113,117,98,93,107,132,139,156,148,150,144,153,155,157,159,161,163,166,168,170,173,175,177,180,182,185,185,185,185,185,185,185,185,185,185,185
Florida,17,38,69,110,125,152,191,221,216,226,377,496,694,630,858,993,903,1178,1176,1527,1114,1019,1003,1035,1013,995,1013,1177,1163,1045,872,775,1044,994,990,767,792,777,765,752,740,728,716,704,693,682,671,660,649,638,628,618,607,598,588,578,569,560,550,541,533,524
