Date,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/02/20,5/03/20,5/04/20,5/05/20,5/06/20,5/07/20,5/08/20,5/09/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20
Rhode Island,1,1,1,1,1,1,2,2,3,3,4,6,6,7,9,12,14,14,17,21,25,30,43,52,62,69,73,81,90,96,106,126,155,145,220,249,226,289,257,257,350,306,292,346,321,370,390,360,377,390,374,347,344,338,323,306,297,289,280,272,264,256,249,241,234,227,221,214,208,202,196,190,185,179,174,169,164
South Carolina,1,1,1,1,1,1,2,2,4,6,7,10,17,22,25,38,42,52,49,59,69,83,90,106,124,161,165,180,182,187,191,161,177,195,185,182,166,162,177,163,147,148,151,151,127,158,141,139,144,160,167,185,160,168,170,173,176,178,180,183,185,188,190,193,195,198,201,203,206,206,206,206,206,206,206,206,206
South Dakota,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,4,5,6,8,10,10,11,13,17,18,21,21,27,30,38,40,50,59,70,83,95,111,123,125,131,129,117,110,99,92,90,86,82,80,80,74,70,69,60,58,55,52,50,47,45,43,41,39,37,35,34,32,31,29,28,27,25,24,23,22
Tennessee,1,1,1,1,2,4,4,4,7,10,13,19,28,39,52,80,100,117,135,156,172,190,186,231,288,274,250,259,273,269,250,204,232,261,259,268,258,241,209,219,196,208,223,233,224,224,300,352,371,371,383,380,425,353,452,433,442,451,461,471,481,491,501,512,523,534,546,557,569,569,569,569,569,569,569,569,569
Texas,2,2,2,3,3,6,7,7,10,13,25,40,55,75,83,96,121,148,180,215,268,307,341,408,447,501,542,587,631,699,731,775,877,910,922,924,890,869,876,810,821,812,798,782,795,773,825,828,778,815,796,826,848,868,864,851,855,859,863,867,871,875,880,884,888,892,897,901,905,905,905,905,905,905,905,905,905
Utah,1,1,1,1,1,1,1,2,4,5,6,8,12,15,21,33,37,42,48,54,69,80,77,84,78,99,111,118,126,126,122,137,110,122,111,100,98,97,100,118,99,101,109,121,126,128,133,141,147,151,146,150,150,151,149,151,152,152,153,153,154,154,155,155,156,156,156,157,157,157,157,157,157,157,157,157,157
Virginia,1,1,1,1,2,4,5,5,7,8,10,13,14,17,26,29,32,45,52,69,83,96,109,137,155,177,201,238,250,265,298,309,334,357,381,376,410,407,408,407,426,425,467,463,493,538,587,586,616,633,650,673,671,693,758,777,800,825,850,875,902,929,958,987,1016,1047,1079,1112,1146,1146,1146,1146,1146,1146,1146,1146,1146
Washington,16,15,20,35,53,70,77,69,94,113,106,133,137,164,199,206,196,224,262,279,320,353,386,443,431,455,481,460,480,484,466,524,464,468,455,398,332,301,238,203,200,192,196,211,228,236,242,209,220,220,225,207,211,225,237,228,230,232,233,235,236,238,240,241,243,245,246,248,250,250,250,250,250,250,250,250,250
Wisconsin,1,1,1,1,1,3,4,4,7,10,15,22,29,36,50,54,58,73,81,101,110,112,115,133,134,146,155,139,165,174,167,165,163,151,169,146,140,140,144,141,141,141,144,153,153,161,168,186,213,224,226,238,239,257,280,294,306,319,332,347,361,377,392,409,426,444,463,483,503,503,503,503,503,503,503,503,503
