Date,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20
Massachusetts,21,26,38,47,65,90,104,121,212,399,547,694,806,846,837,788,928,1071,1261,1333,1178,1145,1155,1430,1701,1924,2023,2178,1964,1768,1481,1771,2079,2151,1965,1225,1609,1561,1531,1501,1472,1444,1416,1389,1362,1336,1310,1285,1260,1236,1212,1188,1166,1143,1121,1099,1078,1057,1037,1017,997,978
Michigan,13,13,29,68,113,140,259,309,418,420,505,614,785,881,955,988,1276,1431,1710,1637,1642,1492,1582,1543,1428,1155,1086,913,1067,1132,1272,1058,1007,911,872,659,625,622,554,494,440,392,350,312,278,248,221,197,175,156,139,124,111,99,88,78,70,62,56,49,44,39
Minnesota,13,13,19,12,18,19,26,40,42,40,37,45,52,53,60,63,62,55,53,59,64,66,68,73,85,89,91,127,95,89,63,63,125,133,182,133,119,105,110,115,120,125,131,137,143,149,156,163,170,177,185,193,193,193,193,193,193,193,193,193,193,193
Mississippi,2,5,9,13,20,35,52,56,60,57,79,86,95,91,89,91,105,110,140,127,154,127,153,122,174,185,213,174,158,148,193,227,235,205,217,240,247,221,227,233,240,247,253,260,268,275,283,291,299,307,316,324,324,324,324,324,324,324,324,324,324,324
Missouri,1,3,4,11,20,21,20,38,59,85,111,136,161,132,128,174,233,269,169,232,163,291,273,287,232,256,300,279,206,213,174,220,208,263,190,173,162,162,156,151,146,141,137,132,128,124,120,116,112,108,105,101,98,95,92,89,86,83,80,78,75,73
Nebraska,1,2,2,4,5,5,7,5,9,7,8,5,8,11,21,25,34,34,36,37,39,46,42,52,50,63,60,74,60,66,37,46,56,116,174,194,145,105,115,125,136,148,161,175,191,207,226,246,267,291,316,344,344,344,344,344,344,344,344,344,344,344
Nevada,9,12,12,17,35,35,32,28,39,44,58,86,101,167,159,163,120,150,133,154,131,146,127,135,168,199,148,127,89,144,125,75,130,138,171,102,104,105,105,106,106,107,108,108,109,110,110,111,112,112,113,114,114,114,114,114,114,114,114,114,114,114
New Hampshire,4,6,10,8,9,8,10,16,13,12,12,19,26,26,52,57,51,55,41,58,47,79,58,42,35,35,46,37,55,12,70,51,122,68,84,53,49,50,48,45,43,41,39,37,36,34,32,31,29,28,27,25,24,23,22,21,20,19,18,17,17,16
New Jersey,42,60,108,188,213,310,391,651,783,829,1344,1717,2241,2170,2604,2524,2956,2985,3733,3956,3972,3732,3431,3311,3312,3391,3571,3608,3332,3558,3060,3578,3214,3463,3328,3418,3656,3543,3547,3551,3555,3560,3564,3568,3572,3576,3580,3585,3589,3593,3597,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601
